listing_id,price,borough,neighbourhood,price_per_month,latitude,longitude,description,room_type,host_name,last_review,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,booked_days_365
2595,225,Manhattan, Midtown,6843.75,40.75362,-73.98377,Skylit Midtown Castle,entire home/apt,Jennifer,2019-05-21,1,45,0.38,2,355,10
3831,89,Brooklyn, Clinton Hill,2707.083333,40.68514,-73.95976,Cozy Entire Floor of Brownstone,entire home/apt,LisaRoxanne,2019-07-05,1,270,4.64,1,194,171
5099,200,Manhattan, Murray Hill,6083.333333,40.74767,-73.975,Large Cozy 1 BR Apartment In Midtown East,entire home/apt,Chris,2019-06-22,3,74,0.59,1,129,236
5178,79,Manhattan, Hell's Kitchen,2402.916667,40.76489,-73.98493,Large Furnished Room Near B'way,private room,Shunichi,2019-06-24,2,430,3.47,1,220,145
5238,150,Manhattan, Chinatown,4562.5,40.71344,-73.99037,Cute & Cozy Lower East Side 1 bdrm,entire home/apt,Ben,2019-06-09,1,160,1.33,4,188,177
5295,135,Manhattan, Upper West Side,4106.25,40.80316,-73.96545,Beautiful 1br on Upper West Side,entire home/apt,Lena,2019-06-22,5,53,0.43,1,6,359
5441,85,Manhattan, Hell's Kitchen,2585.416667,40.76076,-73.98867,Central Manhattan/near Broadway,private room,Kate,2019-06-23,2,188,1.5,1,39,326
5803,89,Brooklyn, South Slope,2707.083333,40.66829,-73.98779,"Lovely Room 1, Garden, Best Area, Legal rental",private room,Laurie,2019-06-24,4,167,1.34,3,314,51
6021,85,Manhattan, Upper West Side,2585.416667,40.79826,-73.96113,Wonderful Guest Bedroom in Manhattan for SINGLES,private room,Claudio,2019-07-05,2,113,0.91,1,333,32
6848,140,Brooklyn, Williamsburg,4258.333333,40.70837,-73.95352,Only 2 stops to Manhattan studio,entire home/apt,Allen & Irina,2019-06-29,2,148,1.2,1,46,319
7097,215,Brooklyn, Fort Greene,6539.583333,40.69169,-73.97185,Perfect for Your Parents + Garden,entire home/apt,Jane,2019-06-28,2,198,1.72,1,321,44
7322,140,Manhattan, Chelsea,4258.333333,40.74192,-73.99501,Chelsea Perfect,private room,Doti,2019-07-01,1,260,2.12,1,12,353
7726,99,Brooklyn, Crown Heights,3011.25,40.67592,-73.94694,Hip Historic Brownstone Apartment with Backyard,entire home/apt,Adam And Charity,2019-06-22,3,53,4.44,1,21,344
8024,130,Brooklyn, Park Slope,3954.166667,40.68069,-73.97706,CBG CtyBGd HelpsHaiti rm#1:1-4,private room,Lisel,2019-07-01,2,130,1.09,6,347,18
8025,80,Brooklyn, Park Slope,2433.333333,40.67989,-73.97798,CBG Helps Haiti Room#2.5,private room,Lisel,2019-01-01,1,39,0.37,6,364,1
8110,110,Brooklyn, Park Slope,3345.833333,40.68001,-73.97865,CBG Helps Haiti Rm #2,private room,Lisel,2019-07-02,2,71,0.61,6,304,61
8490,120,Brooklyn, Bedford-Stuyvesant,3650.0,40.68371,-73.94028,"MAISON DES SIRENES1,bohemian apartment",entire home/apt,Nathalie,2019-06-19,2,88,0.73,2,233,132
8505,60,Brooklyn, Windsor Terrace,1825.0,40.65599,-73.97519,Sunny Bedroom Across Prospect Park,private room,Gregory,2019-06-23,1,19,1.37,2,85,280
9518,44,Manhattan, Inwood,1338.333333,40.86482,-73.92106,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,Shon,2019-06-15,3,108,1.11,3,311,54
9657,180,Manhattan, East Village,5475.0,40.7292,-73.98542,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Dana,2019-04-19,14,29,0.24,1,67,298
9668,50,Manhattan, Harlem,1520.833333,40.82245,-73.95104,front room/double bed,private room,Ssameer Or Trip,2019-06-01,3,242,2.04,3,355,10
